Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Josts Engg. Co.,505750,,INE636D01041,Industrial Manufacturing,Industrial Products,220.00,23.67,1.18,0.00,128.00,16.22,7.03,213.94,41.07,0.00,20.35,38.75,0.00,25.20,172.13,80.29,0.00,0.17,24.40,213.94,91.84,0.67,30.47,84.82,1.00,10.00,0.00,45.18,1.16,17.06,25.01,22.42,39.49,8.47,14.99,13.18,18.74,,12.00,27.22,16.50,,22.17,23.92,11.15,260.19,0.18
JTEKT India,520057,JTEKTINDIA,INE643A01035,Auto Components,Auto Components & Equipments,122.25,264.03,27.74,0.00,1109.91,25.00,131.03,1770.58,1221.06,0.00,640.34,661.39,241.29,0.00,791.08,477.55,0.00,0.00,27.54,1770.58,313.53,2.82,216.91,352.43,1.00,201.92,6.73,292.26,27.74,115.39,250.83,503.16,1092.74,93.06,171.51,134.36,94.22,-68.08,70.99,78.13,232.19,256.65,367.10,449.74,515.75,3391.18,0.23
JTL Industries,534600,JTLIND,INE391J01032,Industrial Products,Iron & Steel Products,50.74,149.82,39.31,0.00,1211.46,50.97,2.51,1506.88,229.26,0.00,40.11,192.72,115.65,50.22,1072.45,251.54,0.00,10.29,27.31,1506.88,820.91,0.00,349.23,273.22,1.00,16.22,5.97,65.20,34.30,20.00,599.87,105.77,136.77,5.85,130.48,39.03,18.80,12.54,94.31,58.16,21.43,14.77,48.58,23.68,6.01,1938.47,0.12
Jubilant Agri,544355,JUBLCPL,INE03CC01015,Chemicals & Petrochemicals,Specialty Chemicals,1600.55,41.41,15.15,0.00,399.76,56.24,21.48,931.46,273.87,0.00,93.47,192.85,7.11,0.09,721.76,474.66,0.00,0.07,124.62,931.46,247.10,17.63,245.32,385.47,10.00,11.99,15.32,220.76,,163.16,101.45,171.47,249.24,4.61,,,,,,,,,,,,2425.24,0.10
Jubilant Ingrev.,543271,JUBLINGREA,INE0BY001018,Chemicals & Petrochemicals,Specialty Chemicals,562.00,806.14,15.80,0.00,3025.05,567.17,196.62,5256.57,3613.94,0.00,1032.97,2611.37,633.38,26.44,1938.67,1440.67,0.00,16.21,360.83,5256.57,498.00,11.65,927.81,760.07,1.00,46.91,0.00,814.15,15.93,740.24,493.82,2538.71,3440.55,331.35,711.79,-0.12,,,237.85,0.00,,,1798.28,0.00,,8951.64,0.27
Jubilant Pharmo,530019,JUBLPHARMA,INE700A01033,Pharmaceuticals & Biotechnology,Pharmaceuticals,813.50,2882.80,15.80,0.00,6575.70,456.20,2274.80,13521.20,7822.90,0.00,2647.00,7354.40,2343.70,44.70,3396.70,2088.20,0.00,0.00,368.40,13521.20,1308.50,284.10,1228.40,961.00,1.00,623.20,0.00,1000.80,15.93,3664.00,1987.10,5091.20,7868.90,2103.10,1917.59,2419.34,1185.06,585.38,3192.00,4808.39,3468.89,4793.11,4870.61,6339.97,5400.55,12959.04,0.44
Jupiter Life Lin,543980,JLHL,INE682M01012,Healthcare Services,Hospital,1247.20,403.48,65.57,0.00,1385.36,325.00,68.15,2022.77,1289.21,0.00,311.81,997.53,296.44,526.29,690.05,173.69,0.00,0.00,4.93,2022.77,516.36,80.10,27.56,75.68,10.00,29.58,15.21,52.42,6.56,0.00,287.15,717.63,1005.29,74.00,54.51,28.36,,,495.25,271.93,,,683.92,434.56,,8177.40,0.28
Jupiter Wagons,533272,JWL,INE209L01016,Industrial Manufacturing,Railway Wagons,253.80,590.01,427.37,0.00,2369.63,307.24,87.23,3957.49,751.76,0.00,170.06,581.35,72.04,1129.84,2278.34,1116.10,0.00,0.00,40.18,3957.49,1162.24,0.39,1002.14,538.27,10.00,391.98,176.52,359.77,41.23,338.07,627.24,517.52,658.98,29.47,210.51,4.62,-191.91,-56.32,139.21,50.20,172.18,148.75,425.74,111.05,134.53,10846.66,0.21
Just Dial,535648,JUSTDIAL,INE599M01018,Retailing,Internet & Catalogue Retail,506.60,95.02,85.04,0.00,4798.34,0.00,99.84,5787.87,530.35,0.00,387.65,128.16,0.00,5417.50,5640.13,634.80,0.00,736.43,2.20,5787.87,5005.33,95.02,0.00,0.00,10.00,152.22,0.00,18.12,8.50,85.31,-531.55,146.59,511.42,0.00,-351.61,-339.07,-330.22,-226.87,55.33,76.42,0.00,0.00,133.55,172.42,148.90,4308.34,0.02
Jyothy Labs,532926,JYOTHYLAB,INE668F01031,Household Products,Household Products,203.35,53.74,36.72,0.00,1401.21,0.00,61.28,2121.97,847.35,0.00,387.68,448.91,36.94,565.97,1527.62,546.96,0.00,456.47,9.61,2121.97,980.66,53.74,335.60,337.99,1.00,14.86,12.99,305.37,36.72,50.56,459.31,443.79,780.44,13.29,194.27,-21.88,-214.94,-65.93,171.24,220.94,478.60,518.60,440.32,484.11,489.27,7467.31,0.04
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,717.15,724.25,45.48,0.00,1785.29,433.89,62.99,3097.53,973.79,0.00,505.05,559.86,157.61,7.96,2306.64,986.19,0.00,0.00,326.97,3097.53,1320.45,0.00,982.20,354.18,2.00,201.00,60.31,324.95,22.74,303.78,1048.38,322.31,788.48,57.66,-114.94,-43.63,,,792.16,648.12,,,292.50,343.86,,16309.64,0.40
Jyoti Resins,514448,,INE577D01013,Chemicals & Petrochemicals,Specialty Chemicals,743.65,0.00,12.00,0.00,241.01,0.00,0.00,382.06,56.66,16.80,8.29,49.35,0.00,3.61,332.36,126.96,0.00,1.54,0.00,382.06,205.40,0.00,11.13,128.70,10.00,169.76,0.00,12.92,1.20,0.00,117.96,48.24,54.94,0.00,16.40,1.32,2.33,5.00,0.05,1.21,0.40,9.39,46.27,18.79,3.95,892.38,0.00
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels,Other Textile Products,809.55,345.46,34.18,0.00,5313.10,449.16,16.80,6080.82,3980.15,0.00,1519.07,2368.23,35.58,393.92,3565.60,569.71,0.00,0.00,178.44,6080.82,2995.89,0.00,1023.11,575.65,1.00,1211.10,8.57,123.34,34.18,1158.42,2022.11,2429.31,3748.63,117.51,1185.23,732.83,519.91,44.20,1185.30,787.64,647.74,839.29,1940.34,1321.32,1223.50,27671.54,0.06
Kabra Extrusion,524109,KABRAEXTRU,INE900B01029,Industrial Manufacturing,Industrial Products,203.85,143.04,17.49,0.00,428.96,125.79,2.43,793.35,354.82,0.00,150.83,242.30,6.30,63.98,512.24,325.04,0.00,0.00,12.84,793.35,187.20,4.93,306.23,78.99,5.00,5.70,73.23,75.68,3.50,85.57,190.97,184.97,315.57,24.33,134.08,54.60,62.36,,58.45,26.72,4.07,,157.45,134.07,108.42,712.93,0.32
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,900.80,290.07,15.93,0.00,2913.70,168.41,105.45,3969.05,2642.79,0.00,925.38,1667.34,136.38,39.78,1831.43,743.49,0.00,0.00,120.63,3969.05,1087.94,90.56,635.13,592.18,1.00,547.22,26.90,276.82,15.93,238.94,1096.10,1637.70,2545.27,67.93,792.22,660.98,405.33,10.27,164.89,166.01,170.33,243.43,1149.59,1194.76,1145.11,14347.25,0.10
Kalind,526935,,INE377D01018,Commercial Services & Supplies,Diversified Commercial Services,79.80,0.06,5.10,0.00,72.78,0.00,0.80,150.66,0.02,0.00,0.02,64.58,0.00,0.00,55.47,26.82,0.00,0.00,4.00,150.66,28.65,0.00,8.93,39.29,10.00,0.57,0.00,20.52,12.24,0.87,1.70,1.86,2.18,0.00,-0.67,,,,1.69,,,,1.40,,,972.69,0.00
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,514.00,0.00,7.18,0.00,66.94,5.28,0.00,82.37,15.27,0.00,7.74,17.99,0.00,2.62,60.13,8.04,0.00,15.10,0.42,82.37,52.09,0.00,8.08,40.27,10.00,1.48,0.01,5.02,0.72,7.70,27.28,6.87,13.58,0.12,2.68,3.29,,,2.70,5.43,,,5.61,4.37,,369.07,0.00
Kalyani Steels,500235,KSL,INE907A01026,Industrial Products,Iron & Steel Products,631.00,427.61,21.86,0.00,1947.58,153.50,284.10,2821.17,1395.05,0.00,717.20,652.32,490.30,137.16,1173.07,783.14,0.00,0.00,185.87,2821.17,389.93,0.00,174.70,444.04,5.00,485.96,0.00,294.50,4.37,596.24,475.34,733.84,1441.33,381.15,889.68,397.81,120.59,235.15,438.24,0.00,168.84,218.63,358.43,418.50,437.35,2754.51,0.22
Kansai Nerolac,500165,KANSAINER,INE531A01024,Consumer Durables,Paints,162.10,276.42,80.85,0.00,6392.05,117.82,178.57,8339.39,4012.34,0.00,1766.03,2311.20,189.36,1730.16,5498.35,1538.59,0.00,10.01,63.73,8339.39,3959.76,185.22,1634.45,1711.43,1.00,267.31,20.78,1096.21,80.84,276.42,1905.58,2182.13,3777.80,152.60,1694.76,1266.20,1175.03,524.73,203.00,241.97,35.16,51.18,1996.16,1906.39,1035.54,13108.35,0.04
Kataria Indust.,,KATARIA,INE0SVY01018,Industrial Manufacturing,Industrial Products,102.00,2.79,21.53,0.00,91.95,16.96,0.00,131.21,83.01,0.00,40.68,39.74,1.11,0.30,88.48,14.87,0.30,0.00,1.18,131.21,73.61,0.00,29.28,40.35,10.00,0.10,0.53,7.37,1.58,63.37,8.71,41.47,77.48,0.00,26.91,,,,91.42,,,,24.87,,,219.62,0.02
Kaveri Seed Co.,532899,KSCL,INE455I01029,Agricultural Food & other Products,Other Agricultural Products,800.40,0.00,10.29,0.00,1785.30,0.00,0.00,2642.29,730.70,0.00,313.78,421.72,99.73,419.20,2000.52,783.90,0.00,0.00,223.09,2642.29,1216.62,0.00,924.82,356.90,2.00,13.03,386.10,351.71,5.14,0.13,274.02,297.27,573.59,133.79,483.46,329.75,183.04,242.29,1.09,6.26,2.88,1.44,242.39,249.70,189.48,4117.20,0.00
Kavveri Defence,590041,KAVDEFENCE,INE641C01019,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,58.72,5.97,30.37,0.00,53.99,18.93,0.00,131.91,20.74,0.00,18.75,2.29,0.00,15.85,27.21,43.54,0.00,0.00,254.59,131.91,-16.33,0.00,2.86,3.23,10.00,10.73,0.00,6.29,2.01,0.00,-8.89,1.72,20.15,0.00,-78.21,-91.54,-111.62,-95.95,209.73,235.31,267.14,237.49,5.25,22.95,181.79,353.05,0.07
Kaycee Inds.,504084,,INE813G01023,Electrical Equipment,Other Electrical Equipment,769.00,3.38,3.17,0.00,28.12,0.00,0.58,44.03,14.53,0.00,7.19,7.40,0.00,8.47,27.96,9.44,0.00,0.27,0.00,44.03,18.52,3.34,4.59,18.64,10.00,3.00,0.01,7.30,0.30,0.51,19.36,7.89,13.97,0.00,13.96,11.08,8.73,8.18,0.00,0.35,2.48,3.76,2.81,2.98,2.28,244.06,0.11
Kesar India,543542,,INE0L1C01019,Realty,"Residential, Commercial Projects",1155.95,29.23,24.71,0.00,95.10,1.76,25.21,206.44,4.72,0.00,1.98,6.00,0.00,0.28,197.21,76.37,0.00,0.00,0.13,206.44,120.84,0.00,98.03,0.81,10.00,50.38,4.20,40.39,2.47,21.72,28.21,0.70,1.99,0.00,5.11,1.56,,,2.32,1.98,,,1.02,0.05,,3236.53,0.24
Kewal Kir.Cloth.,532732,KKCL,INE401H01017,Textiles & Apparels,Garments & Apparels,416.45,162.72,61.63,0.00,856.76,27.55,136.33,1546.64,569.32,0.00,83.01,491.66,10.54,167.90,992.95,357.81,0.00,0.00,0.13,1546.64,635.14,80.24,272.40,339.44,10.00,180.10,3.69,103.13,6.16,19.70,385.32,117.13,170.00,0.00,239.22,256.99,140.14,,81.88,88.01,48.30,,86.01,82.58,69.57,2566.37,0.18
Keystone Realtor,543669,RUSTOMJEE,INE263M01029,Realty,"Residential, Commercial Projects",364.00,1218.85,126.23,0.55,2668.16,316.23,613.49,6998.52,431.68,0.00,56.37,369.78,0.00,477.07,5983.01,3473.15,0.00,0.00,251.63,6998.52,2509.86,23.07,3906.02,123.28,10.00,1079.78,1638.94,778.32,11.39,1101.37,1659.55,354.94,404.40,0.00,560.16,200.96,,,1562.55,2513.90,,,33.26,195.44,,4594.89,0.44
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",892.00,47.40,172.45,0.00,1290.85,0.00,46.52,1856.13,1189.42,0.00,386.27,836.53,10.25,465.73,969.71,221.39,0.00,0.00,12.61,1856.13,748.32,47.40,0.00,234.71,10.00,156.63,2.39,78.25,17.10,48.66,330.42,764.16,1105.91,36.88,84.30,37.53,,,159.66,413.24,,,668.54,691.42,,15389.14,0.03
Khazanchi Jewell,543953,,INE0OWC01011,Consumer Durables,"Gems, Jewellery And Watches",700.05,59.56,24.75,0.00,244.17,5.11,60.04,380.01,14.20,0.00,1.24,22.47,0.00,0.00,356.97,105.29,4.31,0.00,0.00,380.01,251.68,0.00,306.37,36.49,10.00,8.29,0.00,36.06,2.47,54.80,186.96,13.19,14.09,2.16,69.53,87.36,,,84.12,77.86,,,12.66,13.16,,1732.41,0.22
Khemani Distrib.,539788,,INE030U01025,Retailing,Distributors,126.30,4.29,11.49,0.00,90.25,0.10,5.37,111.51,2.15,0.00,1.28,1.56,0.00,63.66,19.39,8.05,0.00,0.00,0.00,111.51,11.34,0.00,4.73,4.03,5.00,0.51,0.00,3.20,2.30,4.35,23.90,0.99,2.19,0.00,32.66,9.20,13.66,11.80,4.88,3.23,9.57,11.03,1.21,1.08,0.17,290.16,0.04
Kilburn Engg.,522101,,INE338F01015,Industrial Manufacturing,Industrial Products,482.00,104.14,51.89,0.00,510.24,78.71,9.03,839.31,332.20,0.00,48.59,290.51,3.03,10.49,526.77,213.17,0.00,8.44,2.15,839.31,313.60,14.42,49.41,180.70,10.00,52.35,0.00,56.93,4.18,85.05,120.21,159.07,189.99,4.97,,,,,,,,,,,,2528.71,0.19
Kilitch Drugs,524500,KILITCH,INE729D01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,322.60,83.61,17.48,0.00,248.18,49.09,0.33,398.66,117.93,0.00,53.52,63.62,97.88,76.79,209.33,82.90,0.00,0.50,0.76,398.66,126.43,0.00,13.01,92.91,10.00,33.10,0.00,41.74,1.75,31.65,32.35,61.98,112.39,5.97,-2.41,6.00,17.77,15.20,20.43,12.61,0.92,0.00,64.54,31.53,32.96,563.93,0.31
KIOCL,540680,KIOCL,INE880L01014,Ferrous Metals,Sponge Iron,332.65,184.73,607.75,0.00,1050.83,0.00,193.31,2207.57,1183.37,0.00,230.67,933.48,174.70,28.62,1030.91,293.38,0.00,0.00,841.06,2207.57,737.53,184.73,91.09,51.76,10.00,690.23,0.00,188.82,60.78,179.51,1043.59,894.57,1095.13,159.30,1751.59,1798.68,2089.45,2018.44,125.77,123.81,0.00,0.75,277.21,278.94,202.22,20216.83,0.11
Kiran Vyapar,537750,,INE555P01013,Finance,Non Banking Financial Company (NBFC),169.50,355.67,26.98,0.00,2210.83,0.00,291.35,2763.01,14.52,0.00,12.51,2.47,0.00,2335.80,43.12,9.44,0.00,0.00,22.84,2763.01,33.68,0.00,0.02,2.17,10.00,12.09,0.00,0.11,2.73,91.20,61.60,2.16,14.48,0.00,64.22,27.00,4.76,82.07,36.95,27.70,43.82,26.28,39.82,47.02,48.79,462.46,0.16
Kiri Industries,532967,KIRIINDUS,INE415I01015,Chemicals & Petrochemicals,Dyes And Pigments,370.20,1223.14,60.02,0.00,3219.20,1081.33,42.55,5145.74,1142.36,0.00,336.78,886.90,63.22,2993.05,588.75,405.56,0.00,0.00,1493.81,5145.74,183.19,0.57,161.50,104.60,10.00,180.01,6.59,263.58,5.18,121.57,-313.28,437.33,730.07,67.87,112.88,157.93,180.28,336.95,95.86,152.92,204.67,791.33,545.87,511.77,411.75,2222.05,0.37
Kirl. Brothers,500241,KIRLOSBROS,INE732A01036,Industrial Products,"Compressors, Pumps & Diesel Engines",1517.85,218.90,15.90,0.00,2191.60,131.04,50.49,3778.10,1643.83,0.00,988.64,669.30,52.10,649.00,2480.30,1318.70,317.00,0.00,273.45,3778.10,1161.60,55.20,972.70,358.80,2.00,336.50,185.75,571.80,7.94,192.33,683.55,634.38,1573.47,31.97,331.94,280.12,365.17,329.64,396.13,578.08,346.24,355.45,532.29,501.37,460.84,12053.09,0.10
Kirl. Ferrous,500245,KIRLFER,INE884B01025,Ferrous Metals,Pig Iron,356.95,1290.39,82.43,0.00,3537.35,65.00,1213.27,6443.09,5731.44,0.00,2322.41,3399.92,275.96,9.95,2453.00,2147.07,0.00,0.00,544.14,6443.09,305.93,1.97,1028.17,1193.88,5.00,61.99,61.52,977.22,13.93,1223.51,203.19,3103.09,5200.31,487.11,-97.17,-23.32,26.82,-48.31,1192.58,311.24,72.39,132.73,1160.35,854.11,560.77,5886.88,0.36
Kirl.Pneumatic,505283,KIRLPNU,INE811A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",1039.35,0.40,13.00,0.00,1126.70,0.00,0.52,1644.40,476.83,0.00,186.27,322.40,4.30,573.80,1103.70,470.50,0.00,268.55,13.41,1644.40,633.20,0.40,262.90,336.60,2.00,59.30,152.87,234.50,6.48,0.78,319.63,231.93,398.92,34.88,222.59,142.62,114.74,83.43,1.24,28.31,0.83,0.00,229.37,206.65,74.81,6750.78,0.00
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,80.70,86.18,16.31,0.00,165.91,81.93,7.52,299.58,309.92,0.00,62.22,244.84,0.00,0.01,50.00,36.65,0.00,0.00,80.00,299.58,13.35,9.72,3.09,7.09,1.00,29.76,2.40,10.03,16.31,81.82,-12.93,205.67,248.97,0.64,22.97,5.32,-3.64,-6.69,28.78,8.62,14.53,13.66,75.42,39.41,36.78,1316.22,0.47
KN Agri Resource,,KNAGRI,INE0KNW01016,Agricultural Food & other Products,Edible Oil,168.41,47.95,25.00,0.00,340.49,50.99,0.00,442.18,107.00,0.00,79.77,26.14,11.74,26.34,377.62,75.66,0.00,1.66,0.00,442.18,301.96,0.00,198.63,102.90,10.00,6.32,0.00,12.20,2.50,110.21,263.64,28.79,105.55,0.44,200.59,90.28,,,16.27,11.37,,,30.94,38.74,,421.02,0.13
Knowledge Realty,544481,KRT,INE1JAR25012,Realty,Real Estate Investment Trusts (REITs),113.60,2992.19,44199.65,0.16,1112.80,19621.31,175.41,48463.68,24161.31,0.00,3784.83,0.00,0.00,40009.04,423.54,159.05,0.00,0.00,2700.39,48463.68,264.49,0.00,0.00,0.00,100.00,152.73,39.90,7.00,,19766.23,-1588.72,20449.22,23888.95,2.55,,,,,,,,,,,,50374.77,0.07
KNR Construct.,532942,KNRCON,INE634I01029,Construction,Civil Construction,114.55,2320.62,56.25,0.00,4706.31,1846.63,2.84,7693.65,2257.90,0.00,1775.44,445.08,0.88,219.53,3336.52,761.71,0.00,0.00,496.28,7693.65,2574.81,2.02,158.57,874.47,2.00,197.93,21.28,261.32,28.12,1262.44,1347.41,806.36,2297.90,2.18,624.46,11.46,241.15,86.03,1463.54,874.54,770.40,733.64,889.90,1274.82,1341.35,3221.55,0.49
Kody Technolab,,KODYTECH,INE0Q7P01013,IT - Software,Computers - Software & Consulting,694.75,3.42,12.75,0.00,91.11,12.12,0.94,132.58,11.41,0.00,1.49,14.15,5.66,28.36,74.28,26.68,28.26,0.00,1.21,132.58,47.60,0.00,2.25,62.08,10.00,0.11,0.04,9.90,,,,,,,,,,,,,,,,,,885.64,0.03
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029,Household Products,Stationary,75.60,11.70,10.03,0.00,311.52,0.00,54.10,446.03,282.55,0.00,123.39,157.60,0.03,18.41,256.94,106.75,0.00,13.43,64.74,446.03,150.19,11.70,156.06,53.24,1.00,23.35,0.08,64.85,10.03,80.34,134.71,160.89,268.09,0.02,79.90,87.61,58.37,106.86,70.48,125.81,138.24,72.90,148.94,178.33,158.55,758.30,0.04
Kopran,524280,KOPRAN,INE082A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,114.55,156.83,48.29,0.00,452.80,133.32,14.47,813.17,305.54,0.00,97.13,234.87,113.52,0.06,446.65,274.85,0.00,0.00,17.13,813.17,171.80,0.00,173.63,161.57,10.00,37.14,2.33,100.47,4.82,99.23,235.50,181.71,263.45,96.59,263.29,82.56,57.96,11.77,74.55,88.28,88.83,85.85,150.69,111.15,104.44,553.12,0.31
Kothari Indl,509732,,INE972A01020,Fertilizers & Agrochemicals,Fertilizers,171.00,11.74,54.01,0.00,218.06,0.28,33.03,311.27,33.62,21.89,3.90,73.00,0.00,98.55,125.97,34.64,0.00,0.00,31.17,311.27,91.33,0.00,14.47,27.33,5.00,37.23,0.00,19.06,1.25,33.31,-31.68,29.72,33.62,0.00,-1.44,-31.48,,,62.53,12.95,,,27.39,41.84,,1847.18,0.04
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals & Petrochemicals,Petrochemicals,109.41,2.62,59.19,0.00,276.71,0.00,3.01,409.01,253.53,0.00,42.94,208.52,4.61,81.44,124.37,57.66,1.84,0.00,17.73,409.01,66.71,1.81,42.09,41.86,10.00,13.62,0.64,41.56,5.88,0.00,52.28,130.14,165.28,1.37,24.48,5.49,-0.90,3.53,12.05,7.68,33.58,22.73,92.71,99.00,95.20,643.84,0.01
Kothari Products,530299,KOTHARIPRO,INE823A01017,Commercial Services & Supplies,Trading & Distributors,64.00,256.25,59.69,97.32,1061.52,24.37,142.07,1530.49,124.92,0.00,20.03,105.54,0.00,540.39,972.53,232.16,1.53,127.38,185.00,1530.49,740.37,0.00,80.74,438.94,10.00,30.86,4.91,67.42,5.97,82.22,805.77,46.62,65.02,14.71,1065.90,1375.19,323.20,-1248.03,342.70,1104.80,528.11,264.72,78.75,163.96,147.13,382.01,0.23
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,653.80,529.15,272.14,0.00,2991.21,1.53,343.33,6713.79,2736.98,0.00,765.25,3591.73,0.34,450.53,2617.49,2811.80,0.00,0.00,21.07,6713.79,-194.31,382.11,86.81,885.95,10.00,944.04,0.05,287.42,27.41,328.76,417.57,1915.35,2556.23,58.07,698.93,549.91,-0.16,,227.23,203.68,0.00,,640.85,526.42,0.00,17923.51,0.16
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,285.60,70.99,22.89,0.00,5459.58,334.97,71.71,6258.19,1907.92,0.00,985.93,926.73,35.81,1796.85,5250.04,611.55,201.17,300.24,313.88,6258.19,4638.49,48.52,2279.42,535.37,1.00,517.37,0.00,168.35,22.89,544.57,3926.99,902.77,1860.59,12.92,3086.94,2114.37,1445.19,791.41,145.18,571.51,1245.25,1351.03,923.59,979.45,981.94,6537.10,0.01
Krishival Foods,544416,KRISHIVAL,INE0GGO01015,Food Products,Other Food Products,319.50,27.48,22.30,0.00,122.17,9.95,2.82,199.27,51.98,0.00,17.66,37.18,5.91,0.58,118.40,31.14,0.00,0.00,9.97,199.27,87.26,0.00,47.34,23.96,10.00,1.09,0.00,8.64,2.56,6.53,104.48,22.53,34.54,0.15,35.90,14.15,,,10.69,10.62,,,13.32,15.45,,854.26,0.19
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,863.00,0.76,14.92,0.00,151.53,9.45,0.00,190.33,38.89,0.00,16.92,22.13,3.65,7.02,126.13,23.43,0.00,0.00,57.28,190.33,102.70,0.00,51.67,32.59,10.00,28.23,10.74,9.16,1.37,9.43,84.22,14.62,28.95,0.03,14.19,17.00,,,23.09,25.68,,,13.60,10.38,,1288.65,0.00
Kriti Industries,526423,KRITI,INE479D01038,Industrial Products,Plastic Products - Industrial,67.93,100.51,5.27,0.00,212.84,53.15,47.29,421.42,238.48,0.00,73.82,177.22,16.60,3.89,220.19,153.86,0.00,0.00,12.53,421.42,66.33,1.91,134.07,27.15,1.00,19.49,0.00,66.65,4.96,128.37,43.76,155.33,214.98,13.22,68.32,29.07,16.80,12.34,98.87,77.22,63.25,48.75,105.90,106.27,83.46,357.97,0.46
Kriti Nutrients,533210,KRITINUT,INE798K01010,Agricultural Food & other Products,Edible Oil,62.98,5.91,5.01,0.00,223.71,0.00,3.07,255.91,88.85,0.00,31.26,55.93,1.86,51.52,110.00,20.70,32.59,12.08,7.00,255.91,89.30,1.71,38.97,10.49,1.00,52.13,2.25,4.66,5.01,12.15,76.24,58.09,83.90,0.60,55.71,39.61,18.68,1.79,37.56,9.03,29.59,20.31,47.29,45.62,40.12,315.55,0.03
KRN Heat Exchan,544263,KRN,INE0Q3J01015,Industrial Products,Other Industrial Products,872.75,30.47,62.16,0.00,466.29,33.47,0.00,728.78,102.91,0.00,17.71,283.26,11.17,0.00,432.47,197.44,0.00,0.00,64.34,728.78,235.03,0.00,189.76,93.10,10.00,72.29,0.23,154.38,4.61,86.96,67.79,81.70,94.78,4.45,,,,,,,,,,,,5424.70,0.06
Kronox Lab,544187,KRONOX,INE0ATZ01017,Chemicals & Petrochemicals,Specialty Chemicals,107.90,2.61,37.10,0.00,64.30,0.00,0.00,112.68,40.31,0.00,12.45,29.71,0.80,0.03,81.05,9.92,0.03,0.00,0.00,112.68,71.13,0.00,7.57,20.53,10.00,12.62,0.49,7.53,3.71,0.00,38.93,26.41,37.48,0.49,30.40,16.24,,,3.36,0.03,,,11.30,5.54,,400.37,0.03
Kross Ltd,544253,KROSS,INE0O6601022,Auto Components,Auto Components & Equipments,166.00,60.00,32.26,0.00,420.95,30.90,3.05,599.69,195.59,0.00,63.17,154.29,35.47,6.49,357.61,111.76,0.00,0.00,37.25,599.69,245.85,1.52,106.64,164.14,5.00,53.97,0.00,55.61,5.41,117.90,62.30,106.01,162.44,5.43,21.24,12.98,,,86.05,64.98,,,75.85,58.99,,1070.85,0.13
Krsnaa Diagnost.,543328,KRSNAA,INE08LI01020,Healthcare Services,Healthcare Service Provider,579.70,283.57,16.22,0.00,915.56,165.54,36.08,1502.51,967.90,0.00,300.22,679.82,30.21,31.62,577.95,398.01,0.00,0.00,55.04,1502.51,179.94,45.10,30.55,364.92,5.00,129.02,0.01,133.35,3.23,159.79,146.36,647.16,873.65,9.85,216.12,32.83,-11.41,,40.99,246.27,101.77,,385.69,275.10,116.13,1880.46,0.30
Krystal Integrat,544149,KRYSTAL,INE0QN801017,Commercial Services & Supplies,Diversified Commercial Services,542.85,100.82,13.97,0.00,441.21,83.91,6.33,756.91,142.15,0.00,43.50,106.26,0.00,8.89,576.16,286.74,0.15,0.00,62.88,756.91,289.42,7.67,0.83,358.85,10.00,34.48,0.88,45.14,1.40,86.67,235.90,79.86,116.15,0.00,75.56,38.29,49.98,,73.94,21.02,13.27,,10.74,12.07,11.95,758.47,0.22
