Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Creative Newtech,544631,CNL,INE985W01018,Commercial Services & Supplies,Trading & Distributors,565.55,10.93,7.91,,,47.40,0.54,25.93,23.76,22.88,22.54,22.54,21.32,-0.13,,2.88,,9737.00,1.93,32.68,34.68,30.79,10.19,12.27,21.29,21.86,23.66,21.86,867.60,90.42,81.08,,41.43,0.22,1.04,1,849.27,0.39
Crescentis Capital,511571,,INE754C01010,Finance,Non Banking Financial Company (NBFC),119.75,,,0.00,0.00,0.00,0.00,0.00,10.76,16.85,12.31,8.84,10.55,,8.38,88.53,72.68,7428.00,0.00,127.99,0.00,0.00,14.51,9.17,21.77,19.98,16.18,18.84,49.88,25.57,6.27,9.69,20.28,0.00,0.00,1,203.74,0.00
Crest Ventures,511413,CREST,INE559D01011,Finance,Non Banking Financial Company (NBFC),323.80,0.01,-0.84,0.01,0.06,,2.26,,25.61,16.67,14.76,12.81,12.65,-1.33,13.55,71.94,66.70,11659.00,2.86,29.05,10.06,26.22,10.43,16.73,14.92,9.99,17.01,13.36,519.07,149.08,475.89,116.41,487.77,-3.79,0.00,1,921.20,0.16
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,193.25,,,,,,0.00,,76.82,88.26,88.26,88.26,,,,26.08,,,0.00,42.95,82.19,,,34.57,27.41,27.41,27.41,27.41,,,,,-26.52,,,1,3381.50,0.00
Crompton Gr. Con,539876,CROMPTON,INE299U01018,Consumer Durables,Household Appliances,235.90,5.98,6.66,9.45,,1.51,216.10,1.32,16.94,21.44,25.93,25.93,24.10,-14.77,,11.98,,236502.00,39.93,40.17,34.56,37.42,11.00,8.16,41.36,39.63,40.93,39.77,23689.38,13097.69,14839.14,,-12.79,-18.99,21.21,1,15189.93,0.05
Cryogenic OGS,544440,,INE0TL001013,Industrial Manufacturing,Industrial Products,163.50,,,,,1.50,,,33.29,33.29,33.29,33.29,,,,,,,0.00,41.30,79.70,,,18.73,26.78,26.78,26.78,26.78,,,,,57.38,,,0,233.48,0.00
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,77.80,2.41,1.78,2.80,7.01,83.14,3.74,83.23,21.95,22.19,27.05,38.28,18.86,-21.86,21.09,24.54,28.00,116374.00,7.04,83.92,98.17,95.44,14.55,14.98,52.00,15.80,20.11,14.91,316.16,188.09,262.88,94.74,136.60,0.33,0.08,1,10461.46,0.07
Current Infra.,,CURRENT,INE1CRQ01014,Construction,Civil Construction,118.00,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,113.94,,,,21.16,21.16,21.16,21.16,,,,,50.24,,,0,225.95,0.38
Cybertech Sys.,532173,CYBERTECH,INE214A01019,IT - Software,Computers - Software & Consulting,105.35,,,,,94.64,6.27,90.86,19.05,19.93,18.66,16.19,15.17,0.46,13.77,15.68,14.01,34594.00,29.75,70.79,50.06,91.40,13.12,11.31,17.71,18.82,17.82,16.66,480.37,78.42,156.67,75.70,6.87,-4.85,0.00,1,327.95,0.02
Cyient,532175,CYIENT,INE136B01020,IT - Services,IT Enabled Services,813.95,2.70,2.82,2.85,2.68,75.24,272.22,75.17,19.39,18.78,19.17,20.12,15.80,-0.85,16.32,16.57,15.21,176902.00,50.52,59.03,67.53,59.87,9.89,9.90,26.87,18.48,24.34,21.91,10234.70,2521.64,7823.73,5639.40,41.35,-15.79,14.59,1,9044.96,0.08
Cyient DLM,543933,CYIENTDLM,INE055S01018,Industrial Manufacturing,Industrial Products,287.25,,,,,44.98,,36.55,12.54,12.54,12.54,12.54,,,,,,105489.00,0.00,,74.52,,,,78.82,78.82,78.82,78.82,,,,,51.44,,,1,2279.74,0.21
D B Corp,533151,DBCORP,INE950I01011,Media,Print Media,200.80,2.63,1.87,4.75,4.28,0.39,138.63,0.30,19.33,15.69,17.11,21.47,13.32,1.16,15.41,20.74,22.57,39346.00,58.40,98.85,75.96,103.51,9.04,11.35,13.45,13.14,12.69,12.16,1506.76,1392.64,5733.39,6726.16,55.14,-0.41,0.00,1,3579.18,0.13
D P Wires,543962,DPWIRES,INE864X01013,Industrial Products,Iron & Steel Products,140.55,14.15,15.36,9.57,9.95,4.49,0.60,2.54,23.01,25.11,25.53,23.66,18.14,-12.64,18.15,5.26,5.63,23250.00,1.32,52.26,32.86,59.62,14.85,13.46,18.90,14.89,17.00,15.71,443.16,70.25,99.00,,46.65,0.00,0.03,1,217.86,0.01
D-Link India,533146,DLINKINDIA,INE250K01012,IT - Hardware,Computers Hardware & Equipments,388.45,8.37,6.27,7.93,6.65,1.14,33.94,2.64,29.99,25.16,24.10,21.99,18.64,8.69,17.20,8.40,6.99,71479.00,53.01,91.97,96.98,86.16,11.60,13.85,14.52,14.68,13.43,13.35,496.18,216.58,287.77,592.04,53.83,0.70,0.01,1,1379.19,0.02
D.P. Abhushan,544161,DPABHUSHAN,INE266Y01019,Consumer Durables,"Gems, Jewellery And Watches",988.00,4.81,4.12,4.53,,0.16,1.34,0.23,28.25,26.18,23.90,22.74,31.64,5.18,,4.58,,9280.00,2.84,0.56,0.15,0.47,11.75,13.49,29.48,19.76,22.61,20.73,832.22,134.86,158.79,,30.64,0.22,0.00,1,2255.38,0.42
Dabur India,500096,DABUR,INE016A01026,Personal Products,Personal Care,422.90,2.34,2.35,2.49,2.66,3.58,1014.52,3.93,21.75,23.89,25.10,26.92,21.32,-7.24,22.75,19.55,19.86,510298.00,62.36,21.66,26.38,34.21,13.82,12.22,52.68,51.89,53.93,53.81,94792.47,79526.71,57848.33,46644.18,-14.56,-10.42,10.81,1,75009.35,0.12
Dalmia Bharat,500097,DALMIASUG,INE495A01022,Agricultural Food & other Products,Sugar,307.85,1.65,1.38,1.58,0.90,24.68,35.62,15.61,10.50,11.86,11.83,11.69,11.57,-0.19,11.86,14.48,14.80,45934.00,13.45,18.92,14.90,29.37,6.89,6.49,11.13,7.82,11.69,10.40,3894.69,391.07,521.08,140.93,74.62,-0.31,0.02,1,2491.74,0.17
Dalmia BharatLtd,542216,DALBHARAT,INE00R701025,Cement & Cement Products,Cement & Cement Products,1785.30,4.74,3.69,3.91,,,139.92,,6.92,7.55,6.59,6.47,5.08,18.70,,19.76,,90385.00,20.61,21.77,20.94,25.05,3.78,3.35,38.44,36.25,37.28,36.83,28022.86,9466.55,,,-33.07,-4.51,10.86,1,33486.14,0.40
Dam Capital Advi,544316,DAMCAPITAL,INE284H01025,Capital Markets,Stockbroking & Allied,124.15,,,,,,2.83,,51.03,35.93,35.93,35.93,,44.48,,45.45,,176333.00,9.47,179.03,293.92,23.76,10.42,15.06,17.00,17.00,17.00,17.00,,,,,-1022.67,,,1,877.60,0.01
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,601.00,4.98,4.59,,,4.77,0.00,20.09,45.15,32.59,28.88,28.88,27.98,34.58,,13.82,,,0.00,129.22,59.66,77.27,12.83,18.55,27.83,27.83,27.83,27.83,,,,,57.07,,,0,1183.46,0.01
Danlaw Tech.,532329,,INE310B01013,Industrial Manufacturing,Industrial Products,470.00,5.49,20.36,7.12,2.92,7.33,0.00,14.49,29.91,16.35,9.58,9.26,18.93,31.68,14.89,12.47,11.26,8719.00,0.00,54.97,69.33,87.56,6.86,12.94,33.52,32.63,30.64,35.41,61.82,9.57,25.95,7.25,63.49,0.00,0.00,1,228.91,0.37
Datamatics Glob.,532528,DATAMATICS,INE365B01017,IT - Services,IT Enabled Services,664.30,,,,,50.88,22.13,54.94,20.09,19.37,18.32,16.51,14.77,2.48,14.19,14.96,13.05,54194.00,14.97,74.30,66.21,82.64,12.17,12.62,19.19,11.02,17.40,13.57,1766.12,241.99,602.17,395.26,63.25,-1.79,0.13,1,3926.48,0.13
DCM Shriram,523367,DCMSHRIRAM,INE499A01024,Diversified,Diversified,1029.25,2.91,2.73,2.65,3.33,7.23,168.04,2.09,13.13,16.02,18.20,18.89,14.69,-14.44,15.80,13.10,13.58,59837.00,23.53,34.38,25.61,50.69,7.60,5.80,28.61,12.20,22.32,17.80,17623.04,3355.88,6890.50,1744.35,32.48,1.24,-0.51,1,16050.37,0.30
DCX Systems,543650,DCXINDIA,INE0KL801015,Aerospace & Defense,Aerospace & Defense,176.80,8.74,,,,68.44,0.00,,9.40,12.46,12.46,12.46,,,,4.46,,142618.00,0.00,23.01,106.57,,,4.55,50.74,48.39,48.39,48.39,,,,,18.46,-0.69,-7.64,1,1969.29,0.00
DDev Plastiks,543547,DDEVPLSTIK,INE0HR601026,Chemicals & Petrochemicals,Specialty Chemicals,220.40,14.24,,,,30.12,9.06,,36.08,38.22,38.22,38.22,,,,,,37924.00,9.12,57.15,59.37,,,15.89,15.44,15.44,15.44,15.44,,,,,53.42,0.90,0.96,1,2280.64,0.05
DE Nora India,590031,DENORA,INE244A01016,Industrial Products,Electrodes & Refractories,674.30,1.43,1.17,1.07,2.77,27.45,0.64,45.57,17.51,18.57,16.36,17.07,12.52,-33.46,12.29,22.39,20.32,16033.00,3.61,57.97,68.82,97.25,12.24,12.01,43.12,37.85,36.97,37.63,212.48,71.03,220.71,76.74,149.64,-0.50,0.22,1,358.07,0.00
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,381.65,0.01,-0.13,0.12,,29.69,11.48,38.85,10.27,7.71,14.96,14.96,10.02,-37.13,,39.60,,35849.00,0.18,153.73,293.08,217.02,6.92,7.86,16.02,13.86,13.86,13.86,729.92,,,,269.90,0.13,1.10,1,2442.56,0.11
Deepak Builders,544276,DBEIL,INE0OPA01019,Construction,Civil Construction,69.64,5.48,4.89,,,,0.00,,31.54,28.97,29.28,29.28,24.99,-7.91,,15.68,,51336.00,0.00,96.44,75.38,65.56,7.51,8.59,9.95,9.95,9.95,9.95,,,,,142.52,,,1,324.40,0.35
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals,Specialty Chemicals,1336.00,9.24,6.30,4.90,8.19,42.09,95.48,47.25,22.55,30.40,29.56,23.88,23.97,-22.10,22.87,18.16,17.97,410749.00,13.10,60.58,59.26,52.87,17.99,13.49,39.52,32.52,36.56,31.38,30603.18,5251.81,3381.18,716.09,68.15,-2.66,9.45,1,18222.12,0.23
Delhivery,543529,DELHIVERY,INE148O01028,Transport Services,Logistics Solution Provider,407.00,11.52,3.78,,,0.16,0.00,,-3.55,-7.08,-7.02,-7.02,-11.66,16.65,,-1.57,,162318.00,0.00,52.52,66.26,78.94,-7.26,-3.90,216.02,216.02,216.02,216.02,,,,,118.15,-20.56,23.53,1,30468.37,0.17
Delta Corp,532848,DELTACORP,INE124G01033,Leisure Services,Amusement Parks/ Other Recreation,50.99,0.44,0.31,0.72,0.66,1.82,32.10,1.20,12.27,8.50,10.29,10.65,6.52,-18.39,6.80,28.95,33.07,377900.00,13.32,1.82,3.01,0.23,4.70,7.20,16.26,26.58,18.78,20.59,8820.83,1770.58,6696.45,1854.54,66.40,-4.64,-12.58,1,1365.36,0.01
Denta Water,544345,DENTA,INE0R4L01018,Other Utilities,Water Supply & Management,235.00,1.18,-3.57,,,,0.00,,56.90,87.81,87.81,87.81,,40.11,,36.54,,,0.00,41.06,80.51,24.10,44.10,35.20,11.35,11.35,11.35,11.35,,,,,152.54,,,1,627.47,0.03
Dhabriya Poly.,538715,,INE260R01016,Industrial Products,Plastic Products - Industrial,324.00,2.21,1.95,2.23,2.65,1.45,0.41,0.58,17.25,14.44,14.13,15.20,13.94,15.22,14.62,13.31,13.59,7770.00,5.32,61.30,43.88,92.39,6.73,8.56,23.64,20.80,22.14,19.69,91.46,29.12,132.06,23.90,52.15,0.11,0.37,1,350.70,0.48
Dhampur Sugar,500119,DHAMPURSUG,INE041A01016,Agricultural Food & other Products,Sugar,123.50,1.26,1.11,1.44,1.39,5.77,23.91,24.81,10.80,10.94,11.35,11.86,14.22,-23.27,14.87,12.34,12.73,95019.00,8.43,30.65,28.03,35.95,5.30,5.05,13.06,8.59,11.26,10.46,3209.84,494.35,817.32,193.94,22.09,-3.18,0.07,1,794.18,0.43
Dhanuka Agritech,507717,DHANUKA,INE435G01025,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,937.00,2.67,2.89,2.70,2.79,0.95,31.31,0.52,27.40,29.73,28.33,29.17,21.88,1.03,22.09,18.61,17.87,40407.00,11.21,69.77,75.70,78.99,17.20,16.35,21.23,19.76,18.53,18.05,3342.92,1547.25,2703.23,3400.83,122.67,-1.90,2.17,1,4223.83,0.02
Dhariwalcorp,,DHARIWAL,INE0YRN01025,Chemicals & Petrochemicals,Trading - Chemicals,43.00,,,,,0.28,,,28.93,28.93,28.93,28.93,,,,,,512.00,0.00,19.89,19.89,,,11.22,38.05,38.05,38.05,38.05,,,,,16.79,,,0,404.26,0.37
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,235.00,5.82,6.57,,,10.00,0.05,,14.36,24.98,27.26,27.26,16.08,-27.65,,9.04,,38056.00,0.00,80.80,70.72,62.95,11.50,7.52,19.28,18.79,18.79,18.79,,,,,58.00,-3.84,0.29,1,794.23,0.31
Dhunseri Invest.,533336,DHUNINV,INE320L01011,Finance,Non Banking Financial Company (NBFC),753.00,257.94,39.79,3.04,,,1.59,,11.39,13.42,9.98,12.26,5.91,70.83,6.86,23.23,10.81,10523.00,1.89,0.16,2.95,0.43,8.93,7.06,9.85,2.29,3.27,2.92,381.23,74.60,231.11,58.55,59.94,0.00,-0.01,1,459.12,0.20
Dhunseri Vent.,523736,DVL,INE477B01010,Diversified,Diversified,203.90,257.94,39.15,17.91,0.00,5.55,15.06,0.52,13.69,16.72,12.10,13.01,10.20,25.49,12.70,19.74,9.09,25436.00,8.94,0.16,2.61,0.47,11.22,8.57,7.04,5.08,4.28,4.91,802.90,162.23,,,38.65,0.11,-0.36,1,714.05,0.17
Diamines & Chem.,500120,DIAMINESQ,INE591D01014,Chemicals & Petrochemicals,Specialty Chemicals,215.15,3.37,,,2.28,1.33,2.84,2.45,22.44,22.82,22.82,19.38,,,,31.71,,14001.00,19.54,55.44,68.36,,,14.51,37.67,207.69,19.16,78.86,265.86,144.69,84.14,26.61,125.09,-0.11,-0.01,1,210.51,0.06
DIC India,500089,DICIND,INE303A01010,Chemicals & Petrochemicals,Printing Inks,495.00,5.31,4.43,4.97,4.59,13.83,2.57,7.75,4.04,4.08,4.47,4.24,3.32,7.83,2.90,3.06,2.85,6417.00,11.55,104.92,101.52,109.15,1.99,2.03,38.84,33.24,34.71,34.16,354.86,380.56,353.39,629.40,84.25,0.00,0.00,1,454.35,0.01
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,250.90,3.28,2.25,,,7.90,2.30,12.12,17.49,16.68,16.26,16.26,13.63,-0.59,,12.55,,23737.00,8.99,89.83,93.41,81.66,9.48,10.38,28.63,28.63,28.63,28.63,,,,,90.05,,,1,939.02,0.06
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,73.88,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,58.68,,,,,,,,,,,,11.75,,,1,1100.90,0.33
Dishman Carbogen,540701,DCAL,INE385W01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,150.65,0.88,0.93,0.89,,71.57,0.00,77.56,1.16,0.87,2.00,2.33,0.18,,,14.36,,52822.00,0.00,80.72,82.12,103.13,-0.67,-0.62,101.68,27.34,84.65,34.74,2896.57,836.86,5170.27,,-73.39,0.46,-2.59,1,2361.98,0.40
Divgi Torq,543812,DIVGIITTS,INE753U01022,Auto Components,Auto Components & Equipments,669.90,3.11,2.63,3.44,,,7.07,,10.23,13.86,16.59,16.59,10.48,-20.08,,24.35,,22759.00,24.21,82.17,93.99,53.72,8.56,6.53,57.67,57.52,57.52,57.52,,,,,78.18,,,1,2048.76,0.00
Divine Hira Jew.,,DIVINEHIRA,INE0NA501011,Consumer Durables,"Gems, Jewellery And Watches",258.00,,,,,,,,16.62,16.62,16.62,16.62,,,,,,,0.00,,25.48,,,,26.50,26.50,26.50,26.50,,,,,17.06,,,0,336.61,0.43
DJ Mediaprint,543193,DJML,INE0B1K01014,Transport Services,Logistics Solution Provider,79.28,-0.02,3.31,6.71,5.86,0.00,0.16,0.00,17.02,19.25,21.09,21.53,15.77,-14.72,16.19,18.93,17.10,3531.00,4.71,125.52,106.79,137.87,8.17,8.39,54.33,50.41,51.51,50.41,68.67,,,,142.34,0.00,0.00,1,272.56,0.23
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",522.50,0.00,0.00,0.00,0.01,,990.12,,5.62,5.20,4.96,5.45,5.32,83.96,4.40,29.35,31.55,458323.00,42.67,35.98,34.13,43.23,4.25,5.34,57.14,58.17,53.96,50.73,94173.23,34023.16,35904.35,28199.00,700.63,-0.02,0.69,1,129335.05,0.04
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,214.10,5.30,3.20,5.48,4.32,27.44,2.99,31.48,9.48,12.65,17.71,20.45,13.94,-16.26,15.58,12.31,13.96,20899.00,16.83,55.66,54.21,48.12,5.82,2.94,64.34,22.70,45.47,30.36,906.07,168.72,236.55,33.48,7.97,0.03,0.03,1,533.96,0.17
Dodla Dairy,543306,DODLA,INE021O01019,Food Products,Dairy Products,990.55,15.35,12.82,9.94,,0.81,6.03,,21.62,23.13,21.74,21.74,16.98,11.12,,9.54,,33259.00,3.87,0.78,1.19,1.23,13.01,12.65,31.60,29.12,29.12,29.12,2660.81,,,,1.91,-5.47,7.91,1,5975.78,0.04
Dolat Algotech,505526,DOLATALGO,INE966A01022,Capital Markets,Stockbroking & Allied,69.50,,,,,,3.87,,30.31,39.65,43.36,43.36,28.27,-8.96,,70.81,,63943.00,2.88,0.00,0.00,0.00,23.90,17.93,9.90,9.36,8.63,9.36,1488.96,620.40,187.26,30.80,395.00,0.72,0.01,1,1223.19,0.19
Dollar Industrie,541403,DOLLAR,INE325C01035,Textiles & Apparels,Garments & Apparels,248.35,1.55,1.43,1.48,2.23,9.95,16.33,6.05,12.07,16.37,16.87,18.27,14.29,-4.75,15.38,11.22,11.40,28082.00,22.36,109.32,114.13,135.90,8.88,6.35,32.05,22.15,23.73,21.34,3121.65,621.61,2207.11,,130.49,3.92,-1.14,1,1408.56,0.34
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1280.00,11.03,8.36,9.95,12.90,1.00,113.42,0.96,24.06,27.52,29.24,33.23,22.07,1.26,22.88,26.94,26.45,116236.00,32.63,14.93,12.86,14.10,16.26,14.76,61.51,56.14,66.05,63.44,21760.18,11683.17,7303.96,,-44.36,-5.51,13.00,1,21447.04,0.07
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1265.05,1.63,1.59,1.54,1.59,70.49,583.20,73.19,25.32,21.11,18.52,16.59,16.73,5.55,15.71,24.30,22.01,403669.00,12.85,113.11,104.33,104.76,11.73,14.44,18.98,26.25,20.09,21.42,71484.88,51860.62,34520.49,59441.32,90.52,-4.95,7.06,1,105587.81,0.16
Dreamfolks Servi,543591,DREAMFOLKS,INE0JS101016,Transport Infrastructure,Airport & Airport services,67.28,,,,,,2.12,,52.16,36.29,44.32,44.32,33.13,-17.53,,8.48,,118416.00,5.13,117.14,87.89,68.14,14.32,20.62,33.36,35.18,35.18,35.18,,,,,35.95,-11.49,-8.67,1,358.39,0.03
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,264.90,5.19,4.14,8.94,6.02,9.37,1.01,7.69,24.78,21.79,21.06,19.89,19.80,3.93,19.76,9.83,9.20,43244.00,2.78,103.17,106.04,127.94,8.27,9.50,28.35,12.02,22.84,14.15,269.63,42.59,96.80,,61.40,0.25,1.03,1,1283.65,0.19
Dynemic Products,532707,DYNPRO,INE256H01015,Chemicals & Petrochemicals,Specialty Chemicals,213.10,3.59,3.46,3.93,4.13,69.89,0.00,66.64,6.21,8.69,11.78,14.49,9.11,-19.24,10.56,13.88,15.35,13028.00,0.00,68.12,66.43,63.88,3.42,1.29,44.01,18.42,27.54,22.33,688.08,136.74,214.44,55.31,-21.23,0.02,0.80,1,264.86,0.34
E Factor Experie,,EFACTOR,INE0KFF01017,Other Consumer Services,Other Consumer Services,187.00,,,,,,0.71,,56.44,47.19,42.67,42.67,45.03,-20.82,,12.76,,1139.00,8.48,184.11,155.11,194.99,11.92,16.37,18.19,18.19,18.19,18.19,,,,,36.99,,,0,245.55,0.28
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1451.50,22.88,28.23,26.60,49.74,99.95,4.21,100.00,32.07,30.86,28.49,31.78,22.83,7.96,24.35,27.00,27.46,68025.00,0.93,55.63,69.42,60.37,18.71,19.59,25.34,17.35,22.90,18.81,8030.46,1351.98,4645.80,4816.14,55.09,-0.59,4.59,1,13651.48,0.15
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,284.20,1.79,1.86,1.33,3.59,8.87,0.39,12.87,26.00,18.20,14.45,10.63,31.16,67.70,23.90,47.65,29.10,28071.00,0.00,24.11,57.22,72.46,12.28,17.20,52.69,39.78,42.74,39.78,220.47,46.02,85.98,91.33,66.79,-1.18,0.13,1,548.39,0.07
Ecoline Exim,,ECOLINE,INE0VBS01016,Industrial Products,Packaging,122.95,,,,,,,,33.05,33.05,33.05,33.05,,,,,,,,58.63,54.20,,,,12.46,12.46,12.46,12.46,,,,,45.83,,,0,252.24,0.29
Ecos (India),544239,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,108.10,,,,,,5.94,,41.68,27.44,27.44,27.44,,71.12,,14.80,,49922.00,16.65,52.41,50.72,56.21,13.18,20.81,23.10,23.10,23.10,23.10,,,,,32.91,,,1,648.60,0.03
Effwa Infra,,EFFWA,INE0U9101019,Other Utilities,Waste Management,204.75,0.05,,,,4.12,0.00,,34.83,32.78,32.78,32.78,,,,11.62,,2285.00,0.00,109.15,188.02,,,15.32,25.47,25.47,25.47,25.47,,,,,95.01,,,0,473.94,0.14
EID Parry,500125,EIDPARRY,INE126A01031,Food Products,Other Food Products,767.35,3.82,3.23,2.49,3.04,15.51,86.95,8.46,21.37,22.36,20.52,18.45,12.92,-7.50,12.53,9.28,9.10,126023.00,8.56,8.90,17.16,45.09,8.58,8.16,15.40,11.31,13.05,11.20,8025.85,2461.12,4844.35,3079.40,22.77,0.96,11.84,1,13649.04,0.31
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,300.95,4.57,2.63,6.66,7.42,14.30,47.53,8.75,20.88,9.72,9.24,9.01,6.80,29.26,6.45,24.76,22.29,127395.00,15.43,42.87,33.83,47.04,5.18,12.70,35.19,50.83,36.83,39.08,9671.26,4036.33,9759.99,6588.59,-27.66,2.42,0.01,1,18820.33,0.05
EIH Assoc.Hotels,523127,EIHAHOTELS,INE276C01014,Leisure Services,Hotels & Resorts,297.50,2.19,1.70,4.46,4.08,5.70,10.97,4.72,24.69,14.12,14.77,16.99,12.05,9.67,12.85,24.64,25.26,23857.00,23.12,14.36,20.71,35.70,8.66,15.03,24.76,26.67,28.04,27.15,1333.71,635.07,1453.38,670.51,-19.56,0.28,0.00,1,1812.85,0.01
Eimco Elecon(I),523708,EIMCOELECO,INE158B01016,Industrial Manufacturing,Industrial Products,1543.40,0.69,1.49,2.51,1.90,0.50,2.60,1.00,12.48,9.05,8.41,8.50,6.78,31.56,6.81,16.46,14.51,12758.00,8.95,169.10,121.17,104.38,6.16,8.44,24.22,15.95,25.09,20.67,180.35,110.55,242.04,224.97,214.28,3.37,1.00,1,890.54,0.00
EKI Energy,543284,,INE0CPR01018,Commercial Services & Supplies,Consulting Services,75.16,,,,,98.77,,97.98,3.19,3.19,3.19,3.19,,,,,,62951.00,-219.05,28.30,36.30,,,-0.85,3.55,10.21,10.21,10.21,5393.25,,,,204.24,-5.36,-4.43,1,208.09,0.00
Eldeco Housing,523329,ELDEHSG,INE668G01021,Realty,"Residential, Commercial Projects",775.80,-0.12,0.21,0.02,0.12,,8.08,,12.57,18.45,21.76,23.43,14.43,-22.24,15.13,36.53,31.72,4171.00,27.42,17.72,6.96,41.86,7.77,5.55,25.62,12.58,17.14,13.06,731.92,145.06,355.72,36.69,655.02,0.80,0.32,1,762.85,0.27
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,377.55,2.30,1.77,1.90,1.74,13.56,24.24,15.81,28.23,22.60,18.56,15.64,17.08,15.58,14.01,22.59,18.34,107549.00,9.91,125.01,88.99,205.25,11.97,16.41,33.08,21.72,26.87,22.45,1613.44,212.73,870.67,726.26,68.38,6.14,2.69,1,8472.25,0.11
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,71.50,1.60,1.70,2.01,1.74,27.16,57.81,30.69,13.19,11.39,10.62,9.25,10.03,15.05,8.60,13.42,13.49,167935.00,13.61,65.10,64.52,83.20,5.51,6.64,11.14,8.04,9.65,8.41,2345.72,402.65,872.76,678.22,59.05,4.25,-1.74,1,4420.04,0.38
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",461.75,3.34,3.04,3.80,3.24,26.61,51.66,22.59,22.88,20.12,17.72,16.39,17.64,29.56,16.75,13.87,12.34,65977.00,19.11,68.22,65.53,69.19,10.34,12.15,47.40,48.85,53.17,51.65,8859.19,1775.59,4000.23,2351.40,28.29,-6.14,3.31,1,14633.29,0.26
Elin Electronics,543725,ELIN,INE050401020,Consumer Durables,Household Appliances,111.85,7.09,6.56,9.28,,0.35,2.73,0.34,7.32,11.19,12.27,12.27,7.72,-13.85,,5.79,,60747.00,17.48,59.19,68.98,42.25,4.96,3.13,37.46,32.26,32.26,32.26,,,,,60.23,-5.53,-7.01,1,555.45,0.03
Ellen.Indl.Gas,544421,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,194.30,14.34,16.67,23.96,6.45,,0.00,,13.00,14.99,19.43,14.82,18.46,-31.12,17.15,25.97,22.06,,0.00,52.25,76.00,76.90,8.10,7.37,71.88,71.88,71.88,71.88,202.95,202.95,202.95,371.20,-41.29,,,1,2738.37,0.13
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,398.40,3.34,3.49,4.55,5.95,5.55,369.44,5.69,30.72,30.26,26.91,26.37,26.63,14.78,25.75,27.47,27.74,128725.00,52.53,36.70,46.03,42.35,22.12,21.75,31.41,43.78,31.61,33.98,19726.02,7714.63,24257.78,22722.23,27.78,-2.11,-0.30,1,17390.16,0.02
